Name,X062918.Healthy.ppLN.cDC1,X062918.PanIN.ppLN.cDC1,X062918.Tumor.ppLN.cDC1,X070618.Tumor.ppLN.cDC1,X071618.Tumor.ppLN.cDC1,X071718.PanIN.ppLN.cDC1,X072618.PanIN.ppLN.cDC1,X073018.Healthy.ppLN.cDC1,X080618.Healthy.ppLN.cDC1
ENSMUST00000193812,0,0,0,0,0,0,0.047816,0,0
ENSMUST00000082908,0,0,0,0,0,0,0,0,0
ENSMUST00000162897,0.283447,0.409345,0.342683,0.044292,0.313894,0.217915,0.115313,0.157739,0.304286
ENSMUST00000159265,0.258256,0.245953,0,0.320983,0.131977,0.199931,0.079047,0.41021,1.505874
ENSMUST00000070533,1.012332,0.468223,0.346748,0.246245,0.237848,0.283417,0.330986,0.160674,1.256714
ENSMUST00000192857,0,0,0.569484,0.489612,0,0,0.195905,0,0.431199
ENSMUST00000195335,0.404306,0.347923,0.016732,0.086872,0.270991,0.269375,0.185569,0.171268,0.992499
ENSMUST00000192336,0.199625,0.211117,0.187146,0.079843,0.32037,0.181996,0.152349,0.186494,0.820967
ENSMUST00000194099,0.312459,0.066242,0.15503,0.108809,0.019381,0.04263,0.035857,0.007872,0.066929
ENSMUST00000161581,3.510505,0,0,0,0,0,0,0,0
ENSMUST00000192973,0.342399,0.118104,0.05579,0.108389,0.054391,0.048412,0.12204,0,0.025659
ENSMUST00000192183,0.28385,0.280308,0,0,0.292309,0.532257,0.255548,0,0.628519
ENSMUST00000195166,0.477257,0.484243,0.247173,0.517181,0.32744,0.541695,0.519163,0.26177,1.632763
ENSMUST00000192692,0.342943,0.454223,0.146208,0.009444,0.180922,0.363935,0.155989,0.076926,1.007025
ENSMUST00000193244,0,0,0,0,0,0,0.013855,0,0
ENSMUST00000194454,0,0,0,0.051605,0.050896,0.027497,0,0.03223,0.142441
ENSMUST00000157708,0,0,0,0,0,0,0,0,0
ENSMUST00000194643,0,0,0,0,0,0,0,0.635257,0
ENSMUST00000192427,0.856503,1.242858,0.408082,1.336258,1.777555,2.24551,0.930312,0.511682,0.850078
ENSMUST00000208660,0,0,0,0,0,0,0,0,0
ENSMUST00000195384,0,0,0,0,0,0,0,0,0
ENSMUST00000208793,0,0,0,0,0,0,0,0,0
ENSMUST00000194992,0,0,0,0,0,0,0,0,0
ENSMUST00000027032,0,0,0,0,0,0,0,0,0
ENSMUST00000194382,0,0.079041,0,0.011181,0,0.035376,0,0,0
ENSMUST00000027035,0,0,0,0.00711,0,0.050674,0,0,0
ENSMUST00000195555,0,0.066646,0.07985,0,0,0,0.083481,0.061279,0
ENSMUST00000192650,0,0,0,0,0,0,0,0,0
ENSMUST00000116652,0.037177,0,0,0.029175,0,0,0,0,0
ENSMUST00000192505,0.119815,0,0,0,0.039716,0,0,0,0.220683
ENSMUST00000191647,0,0,0,0,0,0.317723,0,0,0
ENSMUST00000191939,0,0,0,0,0,0,0.083103,0.023296,0
ENSMUST00000192913,0,0,0,0,0,0,0,0,0.051877
ENSMUST00000193450,0,0.024108,0,0,0,0,0,0,0.002414
ENSMUST00000194935,0.276526,0,0,0,0,0,0,0,0
ENSMUST00000195361,0,0,0,0,0,0,0,0,0
ENSMUST00000180019,0,0,0,0,0,0,0,0,0
ENSMUST00000193889,0,0,0,0,0,0,0,0,0
ENSMUST00000195771,0.176884,0.112532,0.059336,0.034022,0,0.728168,0.165941,0.020418,0.0094
ENSMUST00000192738,0,0,0,0,0,0,0,0,0
ENSMUST00000182774,0,0,0,0.041476,0.024,0.012006,0,0,0.008915
ENSMUST00000193443,0,0,0,0,0,0,0,0,0
ENSMUST00000157375,0,0,0,0,0,0,0,0,0
ENSMUST00000195671,0,0,0.072515,0,0,0.263606,0,0,0
ENSMUST00000193658,0.198796,0.075772,0.4625,0,0,0.218159,0.044509,0.038312,0
ENSMUST00000130201,1.219584,1.878656,1.375977,0.76093,0.960772,1.290364,1.549185,2.024386,1.01223
ENSMUST00000156816,0.104286,0.347717,0.075295,0.134682,0.29182,0.386495,0.436883,0.348014,0.507253
ENSMUST00000045689,9.56783,14.855355,11.068262,19.180327,11.167725,16.39138,14.432505,21.99112,8.52392
ENSMUST00000115538,12.875396,17.991777,15.187969,18.486013,12.977644,16.352373,19.029824,18.000982,10.665162
ENSMUST00000195445,4.484454,5.037187,3.249975,5.74611,6.643518,3.92275,3.272064,4.229768,10.890101
ENSMUST00000192286,0.183754,0.364225,0.464664,0.285369,0.48558,0.739804,0.537664,0.1837,0.275622
ENSMUST00000146665,0.593835,0.921891,0.691194,0.982358,1.127974,0.331099,1.548977,0.847563,0.309492
ENSMUST00000132625,0,0.644162,0,0,0.749641,0,0,0,0
ENSMUST00000134384,0,0,0,0,0.405738,0,0.176164,0.021488,0.063447
ENSMUST00000027036,13.157387,17.385328,12.665175,16.193155,19.168916,18.047961,17.939187,18.315434,13.043368
ENSMUST00000150971,1.977063,0.642844,0,0,0,1.545913,1.123927,1.409031,0
ENSMUST00000155020,0,0.105599,0,0,0,1.731353,0,0,0
ENSMUST00000119612,0,0,0,0,0,0,0,0,3.749131
ENSMUST00000137887,0,0,0,0,0,0,0,0,2.850683
ENSMUST00000115529,4.381887,0,0.896894,1.241245,0.180222,6.89375,5.710244,13.205655,1.427431
ENSMUST00000131119,0,0,0,0,0,0.227967,0.309886,11.969954,0
ENSMUST00000141278,0.191225,0.272896,0.235441,0.177928,0.361883,0.568092,0.646802,0.031317,0.318701
ENSMUST00000081551,32.173121,38.113017,27.811579,31.80338,37.651342,39.419939,42.337515,46.293213,26.789416
ENSMUST00000165720,0.955291,0.695626,0.506465,1.198263,0.225945,0.43025,1.323505,0.797968,0.988842
ENSMUST00000078030,0,0,0,0,0,0.986525,0.708603,0,0
ENSMUST00000194052,0.579431,0.494191,0,0.422604,0.043475,0.448538,0.200294,0.226586,0.700034
ENSMUST00000002533,0.460797,0.354568,0,0.252782,0,0.567226,0.470111,0.209891,1.454808
ENSMUST00000118000,0,0.202442,0.040195,0,0.25549,0,0,0,0
ENSMUST00000119256,0,0,0,0,0.467576,0.039347,0,0,0.667187
ENSMUST00000170566,0.60765,0,0,0.189608,0,0,0,0,0
ENSMUST00000147158,0,0,0.321568,0,0,0,0,0,0
ENSMUST00000156289,0,0,0.020974,0,0.058048,0,0.11136,0,0
ENSMUST00000168963,0,1.514996,0,0,0,0,0,0,0
ENSMUST00000194114,0.050999,0.043893,0.006849,0,0,0.072571,0.024735,0,0
ENSMUST00000144339,0.301492,0.216531,0.28735,0.186651,0.093774,0.242614,0.334381,0.122863,0.731861
ENSMUST00000133521,0,0,0,0,0,0,0,0,0
ENSMUST00000169520,0,0.082916,0.074227,0,0,0,0.015468,0,0
ENSMUST00000192847,0,0,1.195418,0,0,0,0,0.326829,0
ENSMUST00000044369,12.965683,15.527156,7.020279,10.029872,13.113627,15.923082,20.965458,11.994363,5.528455
ENSMUST00000194676,0.777089,0.259046,0.048587,0.029209,0.023123,0.634736,0.768447,0.396732,0.583206
ENSMUST00000194301,0.25525,0.329234,0.263178,0.296513,0.140637,0.286899,0.337745,0.095222,0.308142
ENSMUST00000194978,0.06108,0.129003,0.119209,0,0.195526,0.429337,0.405586,0,0.492159
ENSMUST00000192029,0,0,0,0,0,2.012404,0,0,0
ENSMUST00000192698,11.776063,14.773491,19.089746,17.639124,19.870537,13.116667,13.282143,19.513411,16.833864
ENSMUST00000192142,0.304884,0.010424,0.052588,0.096214,0.185886,0.126133,0.064655,0.143572,0.123565
ENSMUST00000193351,0,0,0,0,0,0,0,0,0
ENSMUST00000193241,4.026401,4.056767,1.986913,3.142683,5.062,5.553523,5.01368,3.058861,3.994317
ENSMUST00000194850,0.046792,0.109841,0.176409,0.025905,0.07228,0.332164,0.079095,0.015426,0.317545
ENSMUST00000192685,0.125894,0,0.009666,0.087513,0,0.109794,0,0.054689,0.205875
ENSMUST00000160777,0.040616,0.067948,0,0.004183,0.004686,0.040935,0.046295,0,0.370425
ENSMUST00000027038,0,0,0,0,0,0,0,0.071789,0
ENSMUST00000160339,0,0.057087,0.089622,0,0,0.124653,0,0,0
ENSMUST00000159083,0,0,0,0.063697,0.072735,0.023502,0.030235,0.036456,0.095346
ENSMUST00000193797,0,0,0,0,0,0,0,0,0
ENSMUST00000175274,10.23522,66.717701,0,0,0,83.81954,34.031877,0,65.299262
ENSMUST00000193807,0.140945,0.479741,0.069689,0.136853,0.13467,0.13211,0.191876,0.044516,0.092385
ENSMUST00000044180,0.009358,0.028398,0.024033,0.023978,0.128096,0.019965,0.049331,0.003779,0.047071
ENSMUST00000191956,0,0,0,0,0,0,0,0,0
ENSMUST00000159906,0,0,0.170185,0.47698,0.441609,0.652212,0,0,2.372794
ENSMUST00000160871,1.694071,0,0.68338,0,0,1.101153,1.554256,0,0
ENSMUST00000191825,0.20682,0.151004,0.135665,0.095606,0.170251,0.338873,0.214424,0.059046,0.530642
ENSMUST00000159618,0.48662,0,0,0,0,0,0.483072,1.147308,0
ENSMUST00000097832,0,0,0,0,0,0,0,0,0
ENSMUST00000027040,0.359442,0.430297,0.059466,0.211116,0.235581,0.686686,0.484504,0.488083,0.020053
ENSMUST00000162210,0.301866,0.188655,0.064437,0.058684,0,0.092495,0.081545,0.550119,0.499073
ENSMUST00000160062,0,0,0,0,0,0,0,0,0
ENSMUST00000162795,2.386969,2.061084,0.995109,0.385212,0.864951,2.097046,2.058497,2.16833,2.844155
ENSMUST00000161327,1.210109,1.439505,0.843353,0.802935,1.702786,2.678715,2.398273,1.531165,2.256474
ENSMUST00000159802,0.125784,0.352893,0.113641,0.111333,0.227794,0.381189,0.629521,0.29632,0.345382
ENSMUST00000162257,3.693589,3.840772,2.774601,2.25625,4.012078,3.498988,3.749152,3.15929,3.335052
ENSMUST00000159206,3.646089,4.729098,4.770141,0.909884,2.648593,3.13195,4.520287,0.455233,1.10312
ENSMUST00000159661,0,0,2.931768,0,0,0,1.041797,0,0
ENSMUST00000161183,0,4.582976,1.669404,0,2.850027,3.684462,4.413007,0.275504,3.738429
ENSMUST00000159349,0,0,0.23691,2.641302,2.344773,1.379362,0,0.498244,0.064345
ENSMUST00000159530,2.734591,3.104421,0.542307,1.799622,2.51969,2.748703,2.402974,0.459734,0
ENSMUST00000162418,0.576724,0.727361,0.594395,0.481182,0.792844,1.293544,1.22323,0.143312,0.590113
ENSMUST00000159656,1.523495,1.670728,2.159635,2.013141,2.100936,1.4232,0,0.718452,0.648374
ENSMUST00000133144,0,0,0,0,0,0,0,0,0.285243
ENSMUST00000193588,0,0,0,0,0,0,0,0,0
ENSMUST00000192950,0,0,0,0,0,0,0,0,0
ENSMUST00000194240,0.019331,0,0.01767,0.033985,0,0,0,0,0.056232
ENSMUST00000140079,0,0,0,0,0,0,0,0,0
ENSMUST00000131494,0,0,0,0,0,0.418805,0.163545,0,0
ENSMUST00000043578,0,0,0,0,0,0,0,0,0
ENSMUST00000139756,0,0,0,0,0.406145,0,0,0,0
ENSMUST00000131467,0,0.287262,0,0,0,0,0.238562,0,0
ENSMUST00000150761,0,0,0,0,0,0,0,0,0.137154
ENSMUST00000151281,0,0,0,0.139784,0,0,0,0,0.363369
ENSMUST00000139838,0.662559,0.376495,0,0,0.19147,0,0.093505,0.297097,0
ENSMUST00000163727,0.22533,0.245257,0.189473,0.028795,0.115953,0,0,0.170883,0.552538
ENSMUST00000132207,0,0.500532,0.094295,0,0,0.221951,0.276043,0,0.594964
